Unnamed: 0,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,All_Feedback,Sentiment
133,881,7,9,5,9,4,5,4,8,7 9 5 9 4 5 4 8,Neutral
134,488,8,8,6,9,7,4,6,1,8 8 6 9 7 4 6 1,Neutral
135,892,5,8,8,9,6,9,10,6,5 8 8 9 6 9 10 6,Neutral
136,152,7,2,5,1,5,10,5,6,7 2 5 1 5 10 5 6,Neutral
137,925,7,10,6,7,9,10,1,3,7 10 6 7 9 10 1 3,Neutral
138,729,9,9,8,7,5,4,5,5,9 9 8 7 5 4 5 5,Neutral
139,647,5,5,8,8,9,6,9,8,5 5 8 8 9 6 9 8,Neutral
140,686,8,6,5,5,2,6,5,8,8 6 5 5 2 6 5 8,Neutral
141,93,9,10,6,4,9,6,7,8,9 10 6 4 9 6 7 8,Neutral
142,485,8,4,7,1,4,7,1,4,8 4 7 1 4 7 1 4,Neutral
143,59,5,8,5,6,10,3,4,10,5 8 5 6 10 3 4 10,Neutral
144,907,10,4,7,6,1,2,5,1,10 4 7 6 1 2 5 1,Neutral
145,158,10,6,5,6,2,10,3,8,10 6 5 6 2 10 3 8,Neutral
146,955,10,4,4,1,10,1,10,10,10 4 4 1 10 1 10 10,Neutral
147,758,8,3,7,7,9,6,7,5,8 3 7 7 9 6 7 5,Neutral
148,605,6,4,4,4,7,5,5,2,6 4 4 4 7 5 5 2,Neutral
149,475,10,6,4,9,3,1,6,7,10 6 4 9 3 1 6 7,Neutral
150,154,9,7,4,8,2,6,3,9,9 7 4 8 2 6 3 9,Neutral
151,79,6,4,6,6,6,4,9,10,6 4 6 6 6 4 9 10,Neutral
152,36,10,6,5,2,1,9,9,6,10 6 5 2 1 9 9 6,Neutral
153,562,6,3,6,7,8,7,4,1,6 3 6 7 8 7 4 1,Neutral
154,231,10,7,8,1,3,3,3,3,10 7 8 1 3 3 3 3,Neutral
155,869,8,7,6,2,9,4,1,7,8 7 6 2 9 4 1 7,Neutral
156,608,7,4,6,5,4,7,8,7,7 4 6 5 4 7 8 7,Neutral
157,846,10,7,7,4,7,10,7,1,10 7 7 4 7 10 7 1,Neutral
158,542,10,4,7,7,2,2,5,9,10 4 7 7 2 2 5 9,Neutral
159,941,9,3,7,2,9,7,3,1,9 3 7 2 9 7 3 1,Neutral
160,919,10,2,8,5,6,3,8,5,10 2 8 5 6 3 8 5,Neutral
161,352,6,2,6,3,5,3,8,6,6 2 6 3 5 3 8 6,Neutral
162,839,9,2,5,10,4,4,9,1,9 2 5 10 4 4 9 1,Neutral
163,266,8,8,5,6,6,8,2,2,8 8 5 6 6 8 2 2,Neutral
164,298,8,4,8,9,7,1,7,3,8 4 8 9 7 1 7 3,Neutral
165,929,10,2,6,1,1,9,9,7,10 2 6 1 1 9 9 7,Neutral
166,574,6,4,8,5,9,5,7,10,6 4 8 5 9 5 7 10,Neutral
167,250,5,7,7,3,1,6,3,1,5 7 7 3 1 6 3 1,Neutral
168,616,9,8,6,9,6,3,5,8,9 8 6 9 6 3 5 8,Neutral
169,164,8,5,7,10,8,9,10,1,8 5 7 10 8 9 10 1,Neutral
170,827,6,3,4,9,7,8,7,6,6 3 4 9 7 8 7 6,Neutral
171,228,7,6,6,1,6,6,6,9,7 6 6 1 6 6 6 9,Neutral
172,787,10,10,5,10,1,9,3,8,10 10 5 10 1 9 3 8,Neutral
173,317,8,8,4,1,10,10,9,1,8 8 4 1 10 10 9 1,Neutral
174,110,9,6,4,1,4,7,9,5,9 6 4 1 4 7 9 5,Neutral
175,165,6,2,6,2,2,10,2,2,6 2 6 2 2 10 2 2,Neutral
176,701,5,9,7,1,9,9,1,9,5 9 7 1 9 9 1 9,Neutral
177,362,7,9,6,7,4,8,1,2,7 9 6 7 4 8 1 2,Neutral
178,890,8,7,5,3,9,1,4,5,8 7 5 3 9 1 4 5,Neutral
179,728,10,9,4,8,5,2,3,10,10 9 4 8 5 2 3 10,Neutral
180,466,9,8,5,5,6,2,10,4,9 8 5 5 6 2 10 4,Neutral
181,709,9,3,6,4,4,8,10,1,9 3 6 4 4 8 10 1,Neutral
182,482,10,3,4,3,10,1,8,5,10 3 4 3 10 1 8 5,Neutral
183,406,9,10,6,1,6,1,9,2,9 10 6 1 6 1 9 2,Neutral
184,66,8,5,8,7,6,1,9,9,8 5 8 7 6 1 9 9,Neutral
185,862,6,5,6,5,7,2,10,8,6 5 6 5 7 2 10 8,Neutral
186,61,9,8,6,5,3,10,6,6,9 8 6 5 3 10 6 6,Neutral
187,111,7,9,7,1,10,10,3,10,7 9 7 1 10 10 3 10,Neutral
188,147,6,8,4,6,9,6,8,7,6 8 4 6 9 6 8 7,Neutral
189,211,7,4,4,3,7,8,7,10,7 4 4 3 7 8 7 10,Neutral
190,996,6,5,6,10,8,7,8,4,6 5 6 10 8 7 8 4,Neutral
191,459,8,5,8,6,6,1,8,4,8 5 8 6 6 1 8 4,Neutral
192,81,5,5,6,5,7,3,9,5,5 5 6 5 7 3 9 5,Neutral
193,288,5,9,6,9,4,4,2,6,5 9 6 9 4 4 2 6,Neutral
194,6,7,10,8,3,3,4,1,2,7 10 8 3 3 4 1 2,Neutral
195,547,6,6,8,5,1,2,2,8,6 6 8 5 1 2 2 8,Neutral
196,30,6,2,7,5,1,10,9,10,6 2 7 5 1 10 9 10,Neutral
197,445,9,4,4,2,4,8,1,6,9 4 4 2 4 8 1 6,Neutral
198,591,6,9,8,5,10,6,2,10,6 9 8 5 10 6 2 10,Neutral
199,770,10,10,5,7,10,7,7,10,10 10 5 7 10 7 7 10,Neutral
200,484,9,6,8,10,3,2,8,4,9 6 8 10 3 2 8 4,Neutral
201,180,8,4,4,1,6,9,6,1,8 4 4 1 6 9 6 1,Neutral
202,946,5,5,5,6,1,3,10,5,5 5 5 6 1 3 10 5,Neutral
203,901,9,8,6,1,2,9,8,2,9 8 6 1 2 9 8 2,Neutral
204,517,10,5,7,7,5,10,6,5,10 5 7 7 5 10 6 5,Neutral
205,545,9,4,8,1,8,6,2,4,9 4 8 1 8 6 2 4,Neutral
206,918,8,3,8,9,9,1,6,1,8 3 8 9 9 1 6 1,Neutral
207,652,8,3,4,8,3,2,2,3,8 3 4 8 3 2 2 3,Neutral
208,471,10,10,4,8,2,2,4,7,10 10 4 8 2 2 4 7,Neutral
209,323,6,8,7,5,4,1,9,3,6 8 7 5 4 1 9 3,Neutral
210,276,8,5,7,9,1,10,1,2,8 5 7 9 1 10 1 2,Neutral
211,672,7,8,5,6,5,10,5,10,7 8 5 6 5 10 5 10,Neutral
212,337,10,7,6,8,9,5,1,1,10 7 6 8 9 5 1 1,Neutral
213,468,7,7,8,4,2,1,5,10,7 7 8 4 2 1 5 10,Neutral
214,380,8,8,4,8,2,4,9,2,8 8 4 8 2 4 9 2,Neutral
215,755,9,8,7,2,9,6,3,7,9 8 7 2 9 6 3 7,Neutral
216,267,8,9,4,4,8,4,8,1,8 9 4 4 8 4 8 1,Neutral
217,598,9,3,4,9,3,4,5,1,9 3 4 9 3 4 5 1,Neutral
218,128,6,2,6,1,9,3,9,2,6 2 6 1 9 3 9 2,Neutral
219,444,8,2,6,10,7,2,4,8,8 2 6 10 7 2 4 8,Neutral
220,572,6,5,4,4,8,6,8,9,6 5 4 4 8 6 8 9,Neutral
221,319,8,3,6,6,7,10,8,4,8 3 6 6 7 10 8 4,Neutral
222,390,8,6,7,5,1,4,3,9,8 6 7 5 1 4 3 9,Neutral
223,176,10,2,6,7,4,10,1,3,10 2 6 7 4 10 1 3,Neutral
224,883,7,4,4,2,8,6,7,4,7 4 4 2 8 6 7 4,Neutral
225,831,5,2,8,3,5,10,7,7,5 2 8 3 5 10 7 7,Neutral
226,220,10,5,8,7,9,7,2,7,10 5 8 7 9 7 2 7,Neutral
227,17,7,6,5,3,9,5,5,2,7 6 5 3 9 5 5 2,Neutral
228,938,10,10,6,5,2,9,9,9,10 10 6 5 2 9 9 9,Neutral
229,651,8,7,6,3,9,10,6,1,8 7 6 3 9 10 6 1,Neutral
230,953,5,10,8,10,6,4,6,4,5 10 8 10 6 4 6 4,Neutral
231,902,5,8,6,10,4,5,5,9,5 8 6 10 4 5 5 9,Neutral
232,167,7,7,5,8,6,9,9,8,7 7 5 8 6 9 9 8,Neutral
233,669,9,3,4,5,2,2,1,6,9 3 4 5 2 2 1 6,Neutral
234,859,8,3,5,9,10,3,1,6,8 3 5 9 10 3 1 6,Neutral
235,120,8,4,7,5,4,4,10,6,8 4 7 5 4 4 10 6,Neutral
236,293,10,4,7,1,6,7,7,4,10 4 7 1 6 7 7 4,Neutral
237,789,10,2,8,7,9,8,1,4,10 2 8 7 9 8 1 4,Neutral
238,182,5,2,7,2,3,6,1,9,5 2 7 2 3 6 1 9,Neutral
239,369,10,5,4,4,3,7,4,10,10 5 4 4 3 7 4 10,Neutral
240,207,6,8,6,7,9,7,2,5,6 8 6 7 9 7 2 5,Neutral
241,842,10,7,5,3,3,6,4,6,10 7 5 3 3 6 4 6,Neutral
242,38,5,8,7,6,10,8,9,5,5 8 7 6 10 8 9 5,Neutral
243,495,5,4,7,9,6,10,5,9,5 4 7 9 6 10 5 9,Neutral
244,942,10,6,8,3,7,8,4,5,10 6 8 3 7 8 4 5,Neutral
245,752,10,7,4,4,4,9,10,7,10 7 4 4 4 9 10 7,Neutral
246,940,7,3,6,9,10,8,3,5,7 3 6 9 10 8 3 5,Neutral
247,648,5,7,7,9,6,3,10,3,5 7 7 9 6 3 10 3,Neutral
248,125,6,2,4,5,9,7,7,7,6 2 4 5 9 7 7 7,Neutral
249,516,10,2,8,9,2,3,3,1,10 2 8 9 2 3 3 1,Neutral
250,963,9,6,4,5,3,3,6,6,9 6 4 5 3 3 6 6,Neutral
251,215,5,6,6,2,1,9,5,8,5 6 6 2 1 9 5 8,Neutral
252,823,7,5,8,3,4,3,1,10,7 5 8 3 4 3 1 10,Neutral
253,840,5,7,5,6,9,9,10,6,5 7 5 6 9 9 10 6,Neutral
254,429,8,3,5,1,8,1,8,9,8 3 5 1 8 1 8 9,Neutral
255,109,6,3,5,6,1,6,6,10,6 3 5 6 1 6 6 10,Neutral
256,795,6,9,8,4,2,6,10,6,6 9 8 4 2 6 10 6,Neutral
257,760,9,4,4,3,8,5,10,1,9 4 4 3 8 5 10 1,Neutral
258,536,10,10,4,7,8,7,6,2,10 10 4 7 8 7 6 2,Neutral
259,888,6,6,5,2,3,6,6,3,6 6 5 2 3 6 6 3,Neutral
260,719,10,10,8,7,6,10,6,4,10 10 8 7 6 10 6 4,Neutral
261,654,6,4,4,9,5,8,8,2,6 4 4 9 5 8 8 2,Neutral
262,947,7,3,8,1,5,9,7,2,7 3 8 1 5 9 7 2,Neutral
263,403,5,7,6,6,5,6,4,6,5 7 6 6 5 6 4 6,Neutral
264,124,9,9,7,9,1,9,4,3,9 9 7 9 1 9 4 3,Neutral
265,548,9,8,6,7,1,2,7,6,9 8 6 7 1 2 7 6,Neutral
266,880,7,3,6,3,5,3,3,10,7 3 6 3 5 3 3 10,Neutral
267,939,10,10,7,4,1,2,3,9,10 10 7 4 1 2 3 9,Neutral
268,166,6,10,4,4,4,8,4,6,6 10 4 4 4 8 4 6,Neutral
269,885,5,6,7,7,2,2,5,7,5 6 7 7 2 2 5 7,Neutral
270,112,7,9,6,9,1,7,1,2,7 9 6 9 1 7 1 2,Neutral
271,811,8,8,8,6,1,4,9,1,8 8 8 6 1 4 9 1,Neutral
272,213,10,8,4,10,1,5,6,2,10 8 4 10 1 5 6 2,Neutral
273,375,10,4,4,1,3,4,7,9,10 4 4 1 3 4 7 9,Neutral
274,897,6,7,4,1,9,8,8,7,6 7 4 1 9 8 8 7,Neutral
275,460,7,8,5,6,7,7,6,7,7 8 5 6 7 7 6 7,Neutral
276,416,6,2,5,8,9,6,3,7,6 2 5 8 9 6 3 7,Neutral
277,571,8,9,7,3,1,8,9,7,8 9 7 3 1 8 9 7,Neutral
278,744,8,5,7,3,10,4,6,7,8 5 7 3 10 4 6 7,Neutral
279,378,9,8,7,2,4,7,2,6,9 8 7 2 4 7 2 6,Neutral
280,121,5,9,5,2,4,5,6,6,5 9 5 2 4 5 6 6,Neutral
281,462,10,4,8,5,4,6,4,7,10 4 8 5 4 6 4 7,Neutral
282,777,8,6,4,6,4,7,10,1,8 6 4 6 4 7 10 1,Neutral
283,845,5,10,6,8,4,4,4,5,5 10 6 8 4 4 4 5,Neutral
284,533,6,10,5,7,2,5,10,10,6 10 5 7 2 5 10 10,Neutral
285,450,5,2,6,2,4,5,1,4,5 2 6 2 4 5 1 4,Neutral
286,717,6,2,4,6,6,2,6,9,6 2 4 6 6 2 6 9,Neutral
287,469,10,8,6,1,3,5,8,10,10 8 6 1 3 5 8 10,Neutral
288,670,7,7,8,1,6,1,2,1,7 7 8 1 6 1 2 1,Neutral
289,137,8,2,5,2,4,9,7,8,8 2 5 2 4 9 7 8,Neutral
290,801,10,7,4,3,6,1,10,4,10 7 4 3 6 1 10 4,Neutral
291,315,5,10,5,10,8,4,8,4,5 10 5 10 8 4 8 4,Neutral
292,153,7,7,5,3,8,9,8,9,7 7 5 3 8 9 8 9,Neutral
293,190,8,6,7,5,6,4,3,8,8 6 7 5 6 4 3 8,Neutral
294,22,7,9,4,1,2,8,10,4,7 9 4 1 2 8 10 4,Neutral
295,949,9,8,7,1,7,6,9,4,9 8 7 1 7 6 9 4,Neutral
296,523,10,2,6,9,7,5,10,9,10 2 6 9 7 5 10 9,Neutral
297,527,5,6,5,2,8,6,9,8,5 6 5 2 8 6 9 8,Neutral
298,461,7,10,7,6,6,8,4,9,7 10 7 6 6 8 4 9,Neutral
299,244,5,8,4,9,3,10,1,3,5 8 4 9 3 10 1 3,Neutral
300,363,9,3,8,10,2,7,5,1,9 3 8 10 2 7 5 1,Neutral
301,610,8,10,6,8,2,1,5,1,8 10 6 8 2 1 5 1,Neutral
302,381,9,2,8,8,1,9,1,2,9 2 8 8 1 9 1 2,Neutral
303,954,8,8,6,3,9,5,7,2,8 8 6 3 9 5 7 2,Neutral
304,604,10,9,8,9,4,8,7,9,10 9 8 9 4 8 7 9,Neutral
305,414,10,6,4,8,2,9,9,3,10 6 4 8 2 9 9 3,Neutral
306,151,8,7,5,10,8,3,8,6,8 7 5 10 8 3 8 6,Neutral
307,721,6,9,4,1,4,10,10,9,6 9 4 1 4 10 10 9,Neutral
308,664,10,8,7,4,8,2,1,10,10 8 7 4 8 2 1 10,Neutral
309,956,7,2,6,5,2,3,8,7,7 2 6 5 2 3 8 7,Neutral
310,747,5,3,5,6,5,10,3,6,5 3 5 6 5 10 3 6,Neutral
311,438,9,6,5,9,2,3,9,3,9 6 5 9 2 3 9 3,Neutral
312,975,5,10,4,8,7,6,8,3,5 10 4 8 7 6 8 3,Neutral
313,277,5,6,8,7,2,7,1,10,5 6 8 7 2 7 1 10,Neutral
314,312,7,2,7,6,6,3,7,2,7 2 7 6 6 3 7 2,Neutral
315,565,10,9,7,10,4,8,5,4,10 9 7 10 4 8 5 4,Neutral
316,739,8,7,5,10,1,1,8,1,8 7 5 10 1 1 8 1,Neutral
317,584,8,8,5,8,6,6,9,4,8 8 5 8 6 6 9 4,Neutral
318,894,6,3,5,4,7,1,5,5,6 3 5 4 7 1 5 5,Neutral
319,270,9,10,5,9,6,4,7,7,9 10 5 9 6 4 7 7,Neutral
320,966,7,4,5,3,1,8,10,2,7 4 5 3 1 8 10 2,Neutral
321,489,7,2,5,8,1,1,8,8,7 2 5 8 1 1 8 8,Neutral
322,665,6,3,4,2,8,5,8,5,6 3 4 2 8 5 8 5,Neutral
323,71,9,10,8,4,9,3,8,2,9 10 8 4 9 3 8 2,Neutral
324,603,7,2,7,1,7,7,1,7,7 2 7 1 7 7 1 7,Neutral
325,196,8,10,8,10,6,7,7,7,8 10 8 10 6 7 7 7,Neutral
326,804,9,3,7,6,10,7,9,7,9 3 7 6 10 7 9 7,Neutral
327,837,5,10,4,1,4,8,9,1,5 10 4 1 4 8 9 1,Neutral
328,530,6,5,4,9,1,2,3,6,6 5 4 9 1 2 3 6,Neutral
329,720,6,6,6,9,10,4,6,7,6 6 6 9 10 4 6 7,Neutral
330,272,5,4,6,4,4,7,7,9,5 4 6 4 4 7 7 9,Neutral
331,984,5,10,6,4,2,10,4,6,5 10 6 4 2 10 4 6,Neutral
332,185,10,3,8,4,1,10,7,9,10 3 8 4 1 10 7 9,Neutral
333,487,6,6,4,2,10,10,1,9,6 6 4 2 10 10 1 9,Neutral
334,75,8,9,8,6,2,7,9,10,8 9 8 6 2 7 9 10,Neutral
335,718,6,3,6,7,6,6,2,6,6 3 6 7 6 6 2 6,Neutral
